2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020 count,Location
1202.1,1241.8,1281.9,1242.6,1269.1,1203.5,1002.7,997.1,1045.2,999.8,7127.0,Washington * D.C.
606.5,604.1,602.6,635.5,730.2,804.6,856.7,891.7,865.0,837.8,6126.0,Alaska *
567.5,559.6,596.7,597.7,656.1,699.4,778.6,842.8,824.0,778.3,16393.0,New Mexico *
608.2,638.5,579.7,610.7,612.1,638.5,655.0,630.4,598.9,672.7,46328.0,Tennessee *
480.9,469.6,445.7,480.2,521.3,554.3,566.0,561.6,580.8,671.9,20363.0,Arkansas *
405.9,428.6,405.8,392.7,410.2,471.0,505.7,475.7,447.1,654.8,35980.0,Arizona *
555.3,496.3,510.4,515.9,539.7,565.0,556.3,543.3,559.7,639.4,29704.0,Louisiana *
447.4,451.3,422.0,443.3,497.4,520.8,531.2,501.4,499.6,542.7,33385.0,Missouri *
571.9,560.5,494.8,497.8,504.5,506.8,506.1,500.8,510.1,530.7,27691.0,South Carolina *
354.1,323.8,398.7,328.3,383.1,422.0,429.8,396.4,397.1,501.4,4476.0,South Dakota *
453.0,455.0,429.8,429.1,415.5,460.9,449.9,452.5,438.6,478.0,47641.0,Michigan *
267.5,278.8,240.7,328.5,349.6,374.1,373.9,380.9,417.9,469.8,5077.0,Montana *
562.1,608.6,591.2,635.7,695.9,677.9,560.6,552.1,496.1,460.3,14445.0,Nevada *
454.8,474.4,428.1,413.8,422.0,455.3,457.4,474.6,436.3,458.6,18255.0,Oklahoma *
420.1,450.3,418.1,427.7,472.4,532.4,522.4,523.1,504.7,453.6,22322.0,Alabama *
408.5,408.6,399.8,406.7,412.2,433.8,437.8,412.9,421.8,446.5,131084.0,Texas *
411.1,423.5,396.2,396.4,426.3,444.8,453.3,447.5,442.1,442.0,174026.0,California *
559.5,550.5,479.1,488.1,499.0,510.0,457.3,422.5,422.7,431.9,4262.0,Delaware *
424.0,416.2,372.5,370.9,383.8,436.7,436.2,411.4,415.3,425.9,53612.0,Illinois *
353.9,356.7,327.5,352.6,389.9,401.2,400.4,441.8,405.5,425.0,12835.0,Kansas *
320.2,307.4,291.2,307.8,321.0,344.1,372.2,401.5,384.6,423.1,24570.0,Colorado *
349.8,353.5,336.6,329.1,347.0,371.8,370.4,356.2,378.7,419.3,44451.0,North Carolina *
373.2,380.0,359.7,385.8,378.3,390.4,356.5,338.9,326.2,400.1,42850.0,Georgia *
494.1,477.3,467.8,448.0,457.2,481.7,503.3,469.4,454.4,399.9,24215.0,Maryland *
355.0,355.5,326.6,315.0,315.1,315.9,313.0,305.4,306.0,389.5,49793.0,Pennsylvania *
515.3,487.0,460.0,458.9,461.9,429.4,408.1,385.9,378.2,383.6,83368.0,Florida *
398.1,406.3,389.8,384.7,379.7,374.6,361.1,350.8,361.0,363.8,70339.0,New York *
331.8,344.8,349.9,365.3,387.5,399.7,395.0,373.5,371.5,357.7,24161.0,Indiana *
315.9,320.1,289.7,316.4,337.9,362.7,361.2,299.9,318.9,355.9,6352.0,West Virginia *
253.2,258.8,252.2,276.2,274.9,296.8,311.8,289.9,304.6,334.1,6473.0,Nebraska *
247.0,245.7,256.3,270.4,239.4,252.1,282.5,284.1,301.4,329.0,2518.0,North Dakota *
236.9,283.9,271.1,291.1,305.8,306.9,321.8,299.0,297.1,323.4,18861.0,Wisconsin *
307.4,301.5,275.7,285.7,291.9,307.7,296.8,294.8,296.0,308.8,36104.0,Ohio *
428.4,407.0,404.0,395.1,390.9,380.7,354.3,340.3,328.7,308.8,21288.0,Massachusetts *
255.6,265.6,260.9,272.8,286.1,292.9,287.5,263.7,287.6,303.5,9601.0,Iowa *
294.6,298.1,277.9,285.8,284.4,303.5,302.8,315.3,303.3,293.7,22596.0,Washington *
247.6,247.1,242.9,259.2,259.8,268.8,280.4,290.4,293.7,291.9,12380.0,Oregon *
269.8,260.1,267.4,278.3,275.8,281.7,256.2,266.0,261.2,291.2,8638.0,Mississippi *
221.2,230.9,223.2,229.1,242.6,241.9,239.7,221.2,237.5,277.5,15698.0,Minnesota *
195.0,208.0,209.2,219.5,236.0,243.3,242.2,239.4,236.9,260.7,8471.0,Utah *
238.2,224.9,198.8,215.2,218.7,235.6,231.1,217.9,220.7,259.1,11600.0,Kentucky *
287.2,243.0,245.3,236.7,293.4,241.6,251.2,255.0,264.5,254.2,3576.0,Hawaii *
200.9,209.8,204.7,210.4,215.6,230.7,239.2,239.7,232.6,242.6,4432.0,Idaho *
219.3,201.3,197.7,195.4,222.1,244.7,234.6,213.8,215.0,234.2,1364.0,Wyoming *
247.5,253.0,244.6,219.9,242.5,239.1,234.2,219.8,222.7,230.8,2440.0,Rhode Island *
196.7,191.5,187.9,198.4,195.6,219.8,210.4,204.2,209.4,208.0,17925.0,Virginia *
308.4,290.1,285.6,260.9,255.4,243.5,231.8,208.6,206.7,195.4,17353.0,New Jersey *
272.8,283.5,254.5,238.5,218.5,227.7,229.2,209.6,184.6,181.6,6459.0,Connecticut *
135.2,142.3,114.9,102.6,118.0,136.5,173.3,185.0,207.2,173.4,1081.0,Vermont *
284.4,275.0,257.8,237.2,219.6,224.4,232.6,200.9,202.9,164.5,5196.0,Puerto Rico *
188.0,215.0,199.6,197.7,199.3,199.8,195.7,177.6,158.1,146.4,2000.0,New Hampshire
123.2,122.4,121.6,127.6,130.1,124.0,120.6,112.0,116.1,108.6,1466.0,Maine
386.3,387.8,367.9,372.0,383.2,397.5,394.0,383.4,379.4,398.5,1313105.0,United States *
