Year,Value
-Nkzk-dg51QDW_BIX9q8,"{'2011': 1202.1, '2012': 1241.8, '2013': 1281.9, '2014': 1242.6, '2015': 1269.1, '2016': 1203.5, '2017': 1002.7, '2018': 997.1, '2019': 1045.2, '2020': 999.8, '2020 count': 7127.0, 'Location': 'Washington\u202f* D.C.'}"
-Nkzk-fZV4gclDmV7iyC,"{'2011': 606.5, '2012': 604.1, '2013': 602.6, '2014': 635.5, '2015': 730.2, '2016': 804.6, '2017': 856.7, '2018': 891.7, '2019': 865.0, '2020': 837.8, '2020 count': 6126.0, 'Location': 'Alaska\u202f*'}"
-Nkzk-hOpYRRc1_0_iiQ,"{'2011': 567.5, '2012': 559.6, '2013': 596.7, '2014': 597.7, '2015': 656.1, '2016': 699.4, '2017': 778.6, '2018': 842.8, '2019': 824.0, '2020': 778.3, '2020 count': 16393.0, 'Location': 'New Mexico\u202f*'}"
-Nkzk-jLhtr5W3LyigWy,"{'2011': 608.2, '2012': 638.5, '2013': 579.7, '2014': 610.7, '2015': 612.1, '2016': 638.5, '2017': 655.0, '2018': 630.4, '2019': 598.9, '2020': 672.7, '2020 count': 46328.0, 'Location': 'Tennessee\u202f*'}"
-Nkzk-lGPpg55jm8hO4o,"{'2011': 480.9, '2012': 469.6, '2013': 445.7, '2014': 480.2, '2015': 521.3, '2016': 554.3, '2017': 566.0, '2018': 561.6, '2019': 580.8, '2020': 671.9, '2020 count': 20363.0, 'Location': 'Arkansas\u202f*'}"
-Nkzk-n1MMhPv4rDcDXB,"{'2011': 405.9, '2012': 428.6, '2013': 405.8, '2014': 392.7, '2015': 410.2, '2016': 471.0, '2017': 505.7, '2018': 475.7, '2019': 447.1, '2020': 654.8, '2020 count': 35980.0, 'Location': 'Arizona\u202f*'}"
-Nkzk-oqiFP4XwAQzNDB,"{'2011': 555.3, '2012': 496.3, '2013': 510.4, '2014': 515.9, '2015': 539.7, '2016': 565.0, '2017': 556.3, '2018': 543.3, '2019': 559.7, '2020': 639.4, '2020 count': 29704.0, 'Location': 'Louisiana\u202f*'}"
-Nkzk-qnfMI49mghjTWC,"{'2011': 447.4, '2012': 451.3, '2013': 422.0, '2014': 443.3, '2015': 497.4, '2016': 520.8, '2017': 531.2, '2018': 501.4, '2019': 499.6, '2020': 542.7, '2020 count': 33385.0, 'Location': 'Missouri\u202f*'}"
-Nkzk-smOmysvl43T4_R,"{'2011': 571.9, '2012': 560.5, '2013': 494.8, '2014': 497.8, '2015': 504.5, '2016': 506.8, '2017': 506.1, '2018': 500.8, '2019': 510.1, '2020': 530.7, '2020 count': 27691.0, 'Location': 'South Carolina\u202f*'}"
-Nkzk-uh8sTpcMVE-3Mt,"{'2011': 354.1, '2012': 323.8, '2013': 398.7, '2014': 328.3, '2015': 383.1, '2016': 422.0, '2017': 429.8, '2018': 396.4, '2019': 397.1, '2020': 501.4, '2020 count': 4476.0, 'Location': 'South Dakota\u202f*'}"
